,price,manufacturer,model,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,is_Turbo
79,15458,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2.0,123346,4.0,Automatic,Front,4,Left wheel,Black,4,No
80,2901,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827,4.0,Automatic,Front,4,Left wheel,Green,12,No
81,15681,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240,8.0,Automatic,4x4,4,Left wheel,Silver,0,No
82,26657,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2,300000,4.0,Manual,Rear,4,Left wheel,White,1,Yes
83,10663,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400,4.0,Automatic,Front,4,Left wheel,Silver,6,No
84,12858,FORD,Focus SE,2015,Sedan,No,Petrol,2.0,91200,4.0,Automatic,Front,4,Left wheel,Sky blue,10,No
85,1019,BMW,X5,2013,Jeep,Yes,Diesel,3.0,137802,6.0,Automatic,4x4,4,Left wheel,Black,12,No
86,12858,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000,4.0,Manual,Front,4,Left wheel,Silver,2,No
87,15000,BMW,328,2008,Sedan,Yes,CNG,3.0,210408,6.0,Tiptronic,Rear,4,Left wheel,White,12,No
88,85553,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567,4.0,Automatic,Front,4,Left wheel,Black,4,No
89,44752,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000,4.0,Automatic,Front,4,Left wheel,Grey,4,No
90,17158,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740,4.0,Automatic,Front,4,Left wheel,White,4,No
91,12231,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000,4.0,Tiptronic,4x4,4,Right-hand drive,White,16,No
92,1254,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000,4.0,Manual,Rear,4,Left wheel,Red,0,No
93,25591,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2.0,85704,4.0,Automatic,Front,4,Left wheel,Silver,4,No
94,14897,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2.0,58962,4.0,Automatic,Front,4,Left wheel,White,4,No
95,23521,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000,4.0,Tiptronic,Front,4,Left wheel,White,12,No
96,3450,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000,3.0,Manual,Front,2,Left wheel,Green,0,No
97,1019,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358,6.0,Automatic,4x4,4,Left wheel,Black,12,No
98,16935,FORD,Fusion,2015,Sedan,Yes,Petrol,2.0,71454,4.0,Automatic,Front,4,Left wheel,Black,0,No
99,19444,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0,4.0,Tiptronic,Front,4,Left wheel,Black,6,No
100,11604,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,346470,4.0,Automatic,Front,4,Left wheel,Silver,4,No
101,51965,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,59515,4.0,Automatic,Front,4,Left wheel,Blue,4,No
102,9408,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2,111111,4.0,Manual,Rear,4,Left wheel,Silver,4,Yes
103,13328,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444,4.0,Automatic,Front,4,Left wheel,Yellow,4,No
104,17876,NISSAN,Serena,2012,Minivan,No,Petrol,2.0,143000,4.0,Tiptronic,Front,4,Right-hand drive,White,12,No
105,20071,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000,4.0,Automatic,4x4,4,Left wheel,Silver,8,No
106,22894,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444,4.0,Automatic,Front,4,Left wheel,Yellow,4,No
107,2901,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403,4.0,Automatic,Front,4,Left wheel,White,0,No
108,15681,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000,4.0,Automatic,4x4,2,Left wheel,Blue,6,No
109,39829,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821,8.0,Automatic,4x4,4,Left wheel,Black,0,No
110,18660,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000,4.0,Tiptronic,Front,4,Left wheel,Black,6,No
111,22580,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,50930,4.0,Automatic,Rear,4,Left wheel,Black,12,No
112,11604,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,264872,4.0,Automatic,Front,4,Left wheel,Silver,4,No
113,5488,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958,4.0,Automatic,Front,4,Left wheel,Black,12,No
114,18817,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058,4.0,Automatic,Front,4,Left wheel,White,12,No
115,21169,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330,4.0,Automatic,4x4,4,Left wheel,Grey,8,No
116,9095,FIAT,500,2011,Coupe,No,Petrol,1.2,141000,4.0,Automatic,Front,2,Right-hand drive,Red,4,No
117,1568,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2.0,82392,4.0,Automatic,Front,4,Left wheel,Silver,12,No
118,3136,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0,180000,6.0,Tiptronic,4x4,4,Right-hand drive,Blue,6,Yes
119,17876,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920,4.0,Tiptronic,Front,4,Left wheel,Grey,12,No
120,11290,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,279787,4.0,Automatic,Front,4,Left wheel,Silver,4,No
121,36065,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200,6.0,Tiptronic,Front,4,Left wheel,White,16,No
122,862,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478,4.0,Automatic,Front,4,Left wheel,White,12,No
123,21395,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144,4.0,Automatic,Front,4,Left wheel,Silver,4,No
124,15681,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,258706,4.0,Automatic,Front,4,Left wheel,Silver,4,No
125,40070,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807,4.0,Automatic,Front,4,Left wheel,Black,4,No
126,11917,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000,4.0,Automatic,Front,4,Left wheel,Golden,8,No
127,72130,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0,18918,4.0,Tiptronic,Front,4,Left wheel,Black,6,Yes
128,35927,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2.0,137267,4.0,Automatic,Front,4,Left wheel,Silver,4,No
129,21012,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000,4.0,Automatic,4x4,4,Left wheel,White,4,No
130,21012,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358,6.0,Automatic,Front,4,Left wheel,Grey,12,No
131,15624,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2.0,107005,4.0,Automatic,Front,4,Left wheel,Grey,4,No
132,4547,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000,4.0,Manual,Front,4,Left wheel,Beige,2,No
133,20005,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997,4.0,Automatic,Front,4,Left wheel,White,4,No
134,36110,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728,6.0,Tiptronic,Front,4,Left wheel,Silver,8,No
135,43880,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,113700,4.0,Automatic,Front,4,Left wheel,Silver,4,No
136,29479,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8,69000,4.0,Tiptronic,Rear,4,Left wheel,Grey,8,Yes
137,17249,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000,4.0,Variator,Front,4,Left wheel,White,12,No
138,44213,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,50255,4.0,Automatic,Front,4,Left wheel,Red,4,No
139,8467,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800,6.0,Manual,Rear,4,Left wheel,Grey,6,No
140,21950,FORD,Transit,2011,Goods wagon,No,Diesel,2.4,125000,4.0,Manual,4x4,4,Left wheel,White,2,Yes
141,3136,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992,4.0,Automatic,Front,4,Left wheel,Black,12,No
142,3450,OPEL,Vectra,1995,Sedan,No,CNG,2.0,0,4.0,Manual,Front,4,Left wheel,White,2,No
143,9408,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5,11000,6.0,Tiptronic,4x4,4,Right-hand drive,Silver,4,Yes
144,31500,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4.0,90200,6.0,Tiptronic,4x4,4,Left wheel,Black,12,No
145,20385,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3.0,184000,6.0,Automatic,4x4,4,Right-hand drive,White,12,No
146,2300,VOLKSWAGEN,Golf,1996,Sedan,No,CNG,2.0,0,4.0,Manual,Front,4,Left wheel,Green,0,No
147,7840,MERCEDES-BENZ,Vaneo,2004,Universal,No,LPG,1.9,170000,4.0,Tiptronic,Front,4,Left wheel,Silver,4,No
148,56450,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000,4.0,Tiptronic,Front,4,Left wheel,Blue,12,No
149,1490,VOLKSWAGEN,Jetta,2014,Universal,Yes,Diesel,2.0,113214,4.0,Automatic,Front,4,Left wheel,Grey,12,No
150,13172,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000,4.0,Automatic,4x4,4,Left wheel,Silver,6,No
151,4704,AUDI,A7,2013,Hatchback,Yes,Petrol,3.0,301707,6.0,Automatic,4x4,4,Left wheel,Grey,0,No
152,5802,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,107800,6.0,Automatic,Rear,4,Left wheel,Grey,12,No
153,25716,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,115200,4.0,Automatic,Front,4,Left wheel,Silver,8,No
154,14426,CHEVROLET,Orlando,2012,Jeep,Yes,LPG,2.0,132036,4.0,Automatic,Front,4,Left wheel,White,4,No
155,10820,TOYOTA,RAV 4,2001,Jeep,No,Petrol,2.0,91000,4.0,Automatic,4x4,2,Right-hand drive,Silver,4,No
156,45436,FORD,Explorer,2011,Jeep,Yes,Petrol,3.5,129177,4.0,Automatic,Front,4,Left wheel,White,4,No
157,11917,HYUNDAI,I30,2008,Hatchback,No,Diesel,1.6,201000,4.0,Manual,Front,4,Left wheel,Black,8,No
158,41281,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2.0,185811,4.0,Automatic,Front,4,Left wheel,Black,4,No
159,4391,NISSAN,Altima,1998,Sedan,No,Petrol,2.4,358400,4.0,Manual,Front,4,Left wheel,Brown,2,No
160,3058,PORSCHE,Cayenne,2018,Sedan,Yes,Petrol,3.6,28968,6.0,Automatic,4x4,4,Left wheel,White,12,No
161,15681,SUZUKI,Grand Vitara,2008,Jeep,No,Petrol,1.6,98000,4.0,Automatic,4x4,2,Left wheel,Black,12,No
162,6586,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,122302,4.0,Automatic,Front,4,Left wheel,Black,0,No
163,12544,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,140000,4.0,Automatic,Front,4,Left wheel,Beige,6,No
164,30063,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2.0,120000,4.0,Automatic,Front,4,Left wheel,White,4,No
165,72130,PORSCHE,Panamera,2010,Hatchback,Yes,Petrol,4.8,196800,8.0,Tiptronic,4x4,4,Left wheel,White,8,No
166,21639,HYUNDAI,Veloster,2015,Hatchback,No,Petrol,1.6,17200,4.0,Tiptronic,Front,2,Left wheel,Red,10,No
167,12231,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,66000,4.0,Variator,Front,4,Right-hand drive,Silver,4,No
168,3136,TOYOTA,Sienta,2004,Sedan,No,Petrol,1.5,300000,4.0,Variator,Front,4,Right-hand drive,Beige,4,No
169,10663,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.8,230000,4.0,Variator,Front,4,Left wheel,Grey,6,No
170,5620,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.3,110467,4.0,Automatic,Front,4,Left wheel,White,4,No
171,19130,MERCEDES-BENZ,CLS 550,2010,Sedan,Yes,Petrol,5.5,157000,4.0,Automatic,Front,4,Left wheel,Grey,10,No
172,9408,HONDA,FIT,2012,Hatchback,No,Hybrid,1.3,64000,4.0,Variator,Front,4,Right-hand drive,Black,4,No
173,15367,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0,179200,4.0,Tiptronic,Front,4,Left wheel,White,16,Yes
174,5959,CHEVROLET,Avalanche,2011,Sedan,Yes,Petrol,5.3,246976,8.0,Automatic,Front,4,Left wheel,Black,12,No
175,26594,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,179918,4.0,Automatic,Front,4,Left wheel,Silver,4,No
176,36065,TOYOTA,Avalon LIMITED,2013,Sedan,Yes,Hybrid,2.5,92200,4.0,Tiptronic,Front,4,Left wheel,Beige,12,No
177,6000,JEEP,Grand Cherokee,1993,Jeep,No,Petrol,4.0,240000,6.0,Automatic,4x4,4,Left wheel,Green,5,No
178,40142,LEXUS,GX 470,2010,Jeep,Yes,Petrol,4.6,357246,8.0,Automatic,4x4,4,Left wheel,Grey,0,No
179,14000,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,50000,4.0,Tiptronic,Front,4,Left wheel,Grey,10,No
180,17923,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,127842,4.0,Automatic,Front,4,Left wheel,White,4,No
181,54518,HYUNDAI,Tucson,2017,Jeep,Yes,Petrol,1.6,40193,4.0,Automatic,Front,4,Left wheel,Black,4,No
182,10349,OPEL,Astra G,2003,Hatchback,No,Petrol,1.6,180000,4.0,Manual,Front,4,Left wheel,Silver,6,No
183,8154,TOYOTA,Ist,2002,Hatchback,No,Petrol,1.3,115000,4.0,Automatic,Front,4,Right-hand drive,Silver,7,No
184,7527,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0,132310,4.0,Automatic,Front,4,Left wheel,Grey,12,No
185,3450,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,60762,4.0,Automatic,Front,4,Left wheel,White,12,No
186,22063,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2.0,142264,4.0,Automatic,Front,4,Left wheel,White,4,No
187,2901,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403,4.0,Automatic,Front,4,Left wheel,White,0,No
188,4704,TOYOTA,Corolla,2013,Sedan,Yes,Petrol,1.8,227371,4.0,Automatic,Front,4,Left wheel,Silver,12,No
189,5331,VOLKSWAGEN,Passat,2002,Sedan,Yes,Petrol,2.8,175000,6.0,Manual,Front,4,Left wheel,Grey,6,No
190,941,VOLKSWAGEN,Jetta,2012,Sedan,Yes,Diesel,2.0,203440,4.0,Automatic,Front,4,Left wheel,Black,12,No
191,16900,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.5,70000,4.0,Automatic,Front,4,Left wheel,Blue,4,No
192,18189,NISSAN,Rogue,2010,Jeep,Yes,Petrol,2.5,122000,4.0,Automatic,4x4,4,Left wheel,Silver,4,No
193,5331,MAZDA,MPV,2000,Minivan,No,Petrol,2.5,127000,4.0,Automatic,Front,4,Left wheel,Green,4,No
194,42651,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2.0,44995,4.0,Automatic,4x4,4,Left wheel,Black,0,No
195,15524,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,122324,4.0,Automatic,Front,4,Left wheel,Red,7,No
196,17249,BMW,530,2007,Sedan,Yes,Petrol,3.0,111111,6.0,Tiptronic,Rear,4,Left wheel,Grey,10,No
197,73071,LEXUS,GS 350,2013,Sedan,Yes,Petrol,3.5,56000,6.0,Tiptronic,Rear,4,Left wheel,Black,12,No
198,862,FORD,Fusion,2014,Sedan,Yes,Hybrid,2.0,186048,4.0,Automatic,Front,4,Left wheel,Black,0,No
199,28909,HYUNDAI,Elantra,2017,Sedan,Yes,Diesel,1.6,98000,4.0,Automatic,Front,4,Left wheel,White,4,No
200,14426,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,169024,4.0,Automatic,Front,4,Left wheel,White,4,No
